                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6329,                   1.39,                 1.2603,                0.38251,                0.62943,                0.32872,                0.25088,                0.85501,                 1.0947,                0.91386,              0.0012079,              0.0012079,              0.0012079
                     36,                 1.6001,                 1.3806,                 1.2336,                0.31672,                0.58196,                0.28949,                0.21241,                0.88967,                 1.1379,                0.92506,              0.0012067,              0.0012067,              0.0012067
                     37,                 1.6408,                 1.3802,                 1.2532,                0.35849,                0.66841,                0.32029,                0.24442,                0.87825,                 1.1505,                0.95665,              0.0012055,              0.0012055,              0.0012055
                     38,                 1.5543,                 1.3656,                 1.2264,                0.34371,                 0.6116,                0.30158,                0.23353,                0.87548,                 1.0792,                0.91171,              0.0012042,              0.0012042,              0.0012042
                     39,                 1.6087,                 1.3668,                 1.2416,                0.36162,                0.63454,                0.31471,                0.22148,                0.93546,                 1.1313,                 0.9256,               0.001203,               0.001203,               0.001203
                     40,                 1.6311,                  1.394,                 1.2577,                0.37861,                0.64384,                0.32833,                 0.2469,                0.81483,                  1.088,                 0.9058,              0.0012017,              0.0012017,              0.0012017
                     41,                 1.6018,                 1.3757,                 1.2346,                0.34114,                0.61892,                0.30592,                0.23763,                0.80103,                 1.1069,                0.92344,              0.0012005,              0.0012005,              0.0012005
                     42,                 1.5534,                 1.3368,                 1.2143,                0.34417,                0.60771,                0.30931,                0.23306,                0.86749,                 1.1249,                0.94498,              0.0011993,              0.0011993,              0.0011993
                     43,                 1.5842,                 1.3228,                 1.2181,                0.32157,                0.57637,                0.27691,                0.20762,                0.95626,                 1.1195,                0.91463,               0.001198,               0.001198,               0.001198
                     44,                 1.5674,                 1.3377,                 1.2162,                0.39278,                0.65584,                0.32934,                0.25213,                0.85615,                 1.1126,                 0.9198,              0.0011968,              0.0011968,              0.0011968
                     45,                 1.5535,                 1.3395,                 1.2134,                0.38157,                0.66166,                0.33265,                0.25427,                   0.83,                 1.1049,                0.91469,              0.0011955,              0.0011955,              0.0011955
                     46,                 1.5897,                 1.3605,                 1.2282,                0.37801,                 0.6599,                0.31772,                0.24475,                0.85524,                 1.0929,                0.93329,              0.0011943,              0.0011943,              0.0011943
                     47,                 1.5936,                 1.3102,                 1.2182,                  0.343,                0.60333,                0.28893,                0.19637,                 1.1786,                 1.1395,                0.98902,              0.0011931,              0.0011931,              0.0011931
                     48,                 1.5518,                 1.3421,                 1.2166,                0.34815,                0.60876,                0.29162,                 0.2218,                0.86487,                 1.1152,                0.92265,              0.0011918,              0.0011918,              0.0011918
                     49,                  1.557,                 1.3272,                 1.1957,                0.41329,                0.64372,                 0.3445,                0.24077,                 0.9548,                 1.1045,                0.91974,              0.0011906,              0.0011906,              0.0011906
                     50,                 1.5682,                 1.3204,                 1.2038,                0.42351,                0.69226,                0.36263,                0.26694,                0.88929,                 1.1063,                0.92777,              0.0011894,              0.0011894,              0.0011894
                     51,                 1.5294,                 1.3219,                 1.1888,                0.39499,                0.66297,                0.33838,                0.26292,                0.91931,                 1.0997,                0.92864,              0.0011881,              0.0011881,              0.0011881
                     52,                 1.5394,                 1.3033,                 1.1924,                0.40224,                0.68954,                0.35674,                0.25077,                0.94461,                 1.1194,                0.90905,              0.0011869,              0.0011869,              0.0011869
                     53,                 1.5305,                 1.2989,                 1.1979,                0.37446,                0.65198,                0.33153,                0.26108,                0.80595,                 1.0827,                0.88692,              0.0011856,              0.0011856,              0.0011856
                     54,                 1.5449,                 1.3095,                 1.1957,                 0.4089,                0.69698,                0.36107,                0.26857,                0.96979,                 1.0978,                0.90747,              0.0011844,              0.0011844,              0.0011844
                     55,                 1.4995,                 1.2825,                 1.1719,                0.38142,                0.68033,                0.33632,                0.25104,                0.81416,                 1.0889,                0.91613,              0.0011832,              0.0011832,              0.0011832
                     56,                 1.5162,                 1.2552,                 1.1698,                0.34278,                 0.6537,                0.30811,                0.23494,                0.89425,                 1.1537,                0.92209,              0.0011819,              0.0011819,              0.0011819
                     57,                 1.5393,                 1.3058,                 1.1847,                0.35277,                0.66403,                0.31716,                 0.2439,                0.83174,                 1.1051,                0.89337,              0.0011807,              0.0011807,              0.0011807
                     58,                 1.5583,                 1.2785,                 1.1948,                0.35439,                0.64372,                 0.3184,                 0.2477,                0.82989,                 1.1074,                0.90887,              0.0011795,              0.0011795,              0.0011795
                     59,                 1.5204,                 1.3244,                 1.1911,                0.33143,                0.60387,                0.28443,                0.21852,                0.92303,                 1.1046,                0.91451,              0.0011782,              0.0011782,              0.0011782
