                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8526,                 3.0623,                 1.8142,                0.24492,                0.56783,                0.39724,                0.18086,                 2.0487,                 2.5731,                 1.1802,             0.00041675,             0.00041675,             0.00041675
                      2,                  2.506,                 2.0375,                 1.5752,                0.37126,                 0.4993,                0.39978,                0.20156,                 1.9695,                 1.5075,                 1.2531,             0.00084933,             0.00084933,             0.00084933
                      3,                  2.434,                  1.922,                 1.5546,                0.41042,                0.52122,                0.44405,                0.20265,                 1.9841,                 1.5417,                 1.2631,               0.001281,               0.001281,               0.001281
                      4,                 2.3677,                  1.791,                 1.5449,                0.36024,                0.57214,                 0.4229,                  0.215,                 1.7195,                 1.4157,                 1.1827,               0.001662,               0.001662,               0.001662
                      5,                 2.2852,                 1.7168,                 1.5238,                0.31898,                0.46379,                0.28183,                0.15324,                 1.6407,                 1.8635,                 1.1444,              0.0016604,              0.0016604,              0.0016604
                      6,                 2.2556,                 1.7002,                  1.504,                0.39099,                 0.4175,                0.37202,                0.20262,                 1.5003,                 1.4298,                 1.1001,              0.0016587,              0.0016587,              0.0016587
                      7,                 2.1989,                 1.7185,                 1.4979,                0.33096,                0.54976,                0.39362,                0.22364,                 1.4731,                 1.2755,                 1.0432,              0.0016571,              0.0016571,              0.0016571
                      8,                 2.1654,                 1.6681,                 1.4987,                0.38511,                0.52189,                0.44333,                0.25192,                 1.5587,                 1.2237,                 1.0835,              0.0016554,              0.0016554,              0.0016554
                      9,                 2.1554,                 1.6561,                  1.495,                0.38924,                0.45912,                0.42753,                0.26614,                 1.4783,                 1.2366,                 1.0977,              0.0016538,              0.0016538,              0.0016538
                     10,                  2.149,                 1.6597,                 1.4834,                0.53004,                0.55599,                0.52395,                0.31522,                 1.4021,                 1.1595,                 1.0812,              0.0016521,              0.0016521,              0.0016521
                     11,                 2.0769,                 1.6198,                 1.4581,                0.46952,                0.55106,                0.48998,                0.30274,                  1.368,                 1.1025,                 1.0935,              0.0016505,              0.0016505,              0.0016505
                     12,                 2.0785,                    1.6,                 1.4492,                0.52346,                0.57377,                0.55126,                0.33203,                 1.3605,                 1.0795,                 1.0295,              0.0016488,              0.0016488,              0.0016488
                     13,                 2.0814,                 1.6086,                  1.467,                0.48147,                0.61109,                0.49846,                0.31186,                 1.2991,                 1.1599,                 1.0168,              0.0016472,              0.0016472,              0.0016472
                     14,                 2.0293,                 1.6103,                 1.4464,                0.57939,                0.57273,                0.59885,                0.38194,                 1.2728,                  0.909,                0.99033,              0.0016455,              0.0016455,              0.0016455
                     15,                 2.0788,                  1.613,                 1.4639,                0.67013,                0.57669,                0.62068,                0.41231,                 1.2459,                0.90972,                0.98704,              0.0016439,              0.0016439,              0.0016439
                     16,                  2.041,                 1.5846,                 1.4309,                 0.6814,                0.57274,                0.60513,                0.38056,                 1.3149,                      1,                 1.0491,              0.0016422,              0.0016422,              0.0016422
                     17,                 2.0284,                 1.5929,                 1.4278,                0.62864,                0.54787,                0.56974,                 0.3644,                 1.3098,                 1.0105,                 1.0763,              0.0016406,              0.0016406,              0.0016406
                     18,                 2.0065,                 1.5779,                 1.4156,                  0.537,                0.50688,                0.50193,                0.30578,                 1.4398,                 1.1641,                 1.1502,              0.0016389,              0.0016389,              0.0016389
                     19,                 2.0108,                 1.5607,                 1.4321,                0.49239,                0.47462,                 0.5143,                0.33356,                 1.2767,                0.86863,                0.99063,              0.0016373,              0.0016373,              0.0016373
                     20,                 2.0051,                 1.5662,                 1.4241,                 0.6156,                0.61084,                0.60492,                0.38384,                 1.2663,                0.90293,                 1.0349,              0.0016356,              0.0016356,              0.0016356
                     21,                 1.9739,                 1.5714,                 1.4138,                0.65448,                0.55592,                0.57538,                0.38656,                  1.184,                0.86515,                 1.0167,               0.001634,               0.001634,               0.001634
                     22,                 1.9628,                 1.5621,                 1.4066,                0.61266,                0.54376,                0.56831,                0.37517,                 1.2322,                0.90742,                 1.0333,              0.0016323,              0.0016323,              0.0016323
                     23,                 1.9563,                 1.5494,                 1.4022,                0.54169,                0.58732,                0.56503,                0.37605,                 1.1511,                0.82113,                0.97539,              0.0016307,              0.0016307,              0.0016307
                     24,                 1.9694,                 1.5431,                 1.4138,                0.55139,                0.59915,                0.55486,                0.38689,                 1.1141,                0.86124,                0.96435,               0.001629,               0.001629,               0.001629
                     25,                 1.9248,                 1.5292,                 1.3991,                0.63261,                0.65284,                0.60115,                0.39864,                 1.1286,                 0.8008,                0.99605,              0.0016274,              0.0016274,              0.0016274
                     26,                 1.9763,                 1.5571,                 1.4154,                0.58129,                0.62259,                 0.5842,                 0.3869,                 1.2079,                0.79451,                  1.004,              0.0016257,              0.0016257,              0.0016257
